,deliverCoin,deliverPoint,groupId,leftTime,noPassNum,packageCopyId,passNum,passRate,product_id,status,submitDate,task_id
75,960,0,10928408,0,3,23926470,17,0.8500000238418579,12714588,6,1557292596000,133282
76,0,0,10928065,0,4,23926434,16,0.800000011920929,12714588,6,1557292421000,133282
77,1600,0,10926873,0,1,23911635,19,0.949999988079071,12714588,6,1557291989000,133269
78,1600,0,10926482,0,0,23911562,20,1.0,12714588,6,1557291654000,133269
79,1600,0,10926218,0,1,23911518,19,0.949999988079071,12714588,6,1557291402000,133269
80,1600,0,10925835,0,0,23911455,20,1.0,12714588,6,1557291219000,133269
81,1600,0,10925452,0,0,23911379,20,1.0,12714588,6,1557290986000,133269
82,960,0,10927520,0,3,23903181,17,0.8500000238418579,12714588,6,1557292248000,133257
83,1600,0,10567134,0,1,23572958,19,0.949999988079071,12714588,6,1556616708000,132870
84,1600,0,10561190,0,0,23557839,20,1.0,12714588,6,1556612845000,132839
85,0,0,10557519,0,7,23547448,13,0.6499999761581421,12714588,6,1556610089000,132819
86,0,0,10560950,0,4,23543551,16,0.800000011920929,12714588,6,1556612302000,132807
87,0,0,10559901,0,4,23543434,16,0.800000011920929,12714588,6,1556612121000,132807
88,1600,0,10542831,0,0,23538283,20,1.0,12714588,6,1556601666000,132805
89,960,0,10542114,0,3,23538198,17,0.8500000238418579,12714588,6,1556601473000,132805
90,0,0,10541975,0,4,23535068,16,0.800000011920929,12714588,6,1556601270000,132801
91,1600,0,10541600,0,1,23534916,19,0.949999988079071,12714588,6,1556601058000,132801
92,0,0,10541009,0,5,23533949,15,0.75,12714588,6,1556600880000,132801
93,1600,0,10540728,0,0,23533845,20,1.0,12714588,6,1556600650000,132801
94,1280,0,10540436,0,2,23533724,18,0.8999999761581421,12714588,6,1556600528000,132801
95,1600,0,10540119,0,1,23533605,19,0.949999988079071,12714588,6,1556600388000,132801
96,1600,0,10539509,0,0,23533348,20,1.0,12714588,6,1556600243000,132801
97,1280,0,10569286,0,2,23519233,18,0.8999999761581421,12714588,6,1556618857000,132792
98,0,0,10533341,0,0,23518678,0,0.0,12714588,2,1556600209000,132792
99,0,0,10531529,0,5,23518605,15,0.75,12714588,6,1556596337000,132792
100,0,0,10479674,0,6,23472398,14,0.699999988079071,12714588,6,1556525841000,132711
101,1280,0,10464427,0,2,23452722,18,0.8999999761581421,12714588,6,1556515799000,132683
102,0,0,10464167,0,5,23452672,15,0.75,12714588,6,1556515618000,132683
103,960,0,10463910,0,3,23452621,17,0.8500000238418579,12714588,6,1556515454000,132683
104,1600,0,10463015,0,1,23452441,19,0.949999988079071,12714588,6,1556514800000,132683
105,1280,0,10462752,0,2,23449946,18,0.8999999761581421,12714588,6,1556514636000,132681
106,1600,0,10462395,0,0,23449810,20,1.0,12714588,6,1556514473000,132681
107,1600,0,10462148,0,0,23449705,20,1.0,12714588,6,1556514267000,132681
108,960,0,10461975,0,3,23449634,17,0.8500000238418579,12714588,6,1556514117000,132681
109,1600,0,10461752,0,0,23449534,20,1.0,12714588,6,1556513998000,132681
110,1600,0,10461538,0,0,23449420,20,1.0,12714588,6,1556513850000,132681
111,1600,0,10461302,0,1,23449304,19,0.949999988079071,12714588,6,1556513681000,132681
112,1600,0,10460985,0,1,23449076,19,0.949999988079071,12714588,6,1556513526000,132681
113,1600,0,10460795,0,1,23448987,19,0.949999988079071,12714588,6,1556513309000,132681
114,1600,0,10458805,0,1,23448176,19,0.949999988079071,12714588,6,1556513184000,132681
115,1600,0,10458548,0,1,23448085,19,0.949999988079071,12714588,6,1556511654000,132681
116,1600,0,10458376,0,0,23448012,20,1.0,12714588,6,1556511445000,132681
117,960,0,10458194,0,3,23447943,17,0.8500000238418579,12714588,6,1556511308000,132681
118,1600,0,10458002,0,0,23447875,20,1.0,12714588,6,1556511149000,132681
119,1600,0,10457765,0,1,23443848,19,0.949999988079071,12714588,6,1556510955000,132675
120,960,0,10457324,0,3,23443755,17,0.8500000238418579,12714588,6,1556510425000,132675
121,1600,0,10457141,0,1,23443731,19,0.949999988079071,12714588,6,1556510157000,132675
122,1600,0,10456948,0,1,23443697,19,0.949999988079071,12714588,6,1556509956000,132675
123,1600,0,10456630,0,1,23443652,19,0.949999988079071,12714588,6,1556509760000,132675
124,0,0,10454504,0,4,23436631,16,0.800000011920929,12714588,6,1556507990000,132661
